Product,Price,Description,Category,Shop
Arisha Pitha,“312 per 500 GM”,“Arisha pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Atta Kakara Pitha,“384 per 14 PCS”,“Atta kakara pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Suji Kakara Pitha,“420 per 14 PCS”,“Suji kakara pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Plain Kakara Pitha,“208 per 8 PCS”,“Plain kakara pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Manda Pitha,“208 per 7 PCS”,“Manda pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Biri Manda Pitha,“180 per 6 PCS”,“Biri manda pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Poda Pitha,“264 per 500 GM”,“Poda pitha”,“Pitha”,“Odisha Food Bazar Pitha”
Ragi Cookies,“144 per 150 GM”,“Ragi cookies”,“Healthy Foods”,“Sakkath Bites”
Jowar Cookies,“144 per 150 GM”,“Jowar cookies”,“Healthy Foods”,“Sakkath Bites”
Bajra Cookies,“144 per 150 GM”,“Bajra cookies”,“Healthy Foods”,“Sakkath Bites”
Foxtail Millet Cookies,“144 per 150 GM”,“Foxtail millet cookies”,“Healthy Foods”,“Sakkath Bites”
Nolen Gur Liquid,“384 per 500 GM”,“Nolen gur liquid”,“Healthy Foods”,“Rannabati”
Dates Imli Pickle,“259 per 500 GM”,“Dates tamarind pickle”,“Pickles”,“Odisha Food Bazar Pitha”
DryMango Pickle,“247 per 500 GM”,“Dry mango pickle”,“Pickles”,“Odisha Food Bazar Pitha”
Koli Achara,“264 per 500 GM”,“Koli achara”,“Pickles”,“Odisha Food Bazar Pitha”
Mango Pickle,“247 per 500 GM”,“Mango pickle”,“Pickles”,“Odisha Food Bazar Pitha”
DryMango Pickle,“169 per 500 GM”,“Dry mango pickle”,“Pickles”,“Odisha Vegetables”
Mango Pickle,“260 per 500 GM”,“Mango pickle”,“Pickles”,“Odisha Vegetables”
Koli Achara,“264 per 500 GM”,“Koli achara”,“Pickles”,“Odisha Vegetables”
Lemon Pickle,“240 per 1 GM”,“Lemon pickle”,“Pickles”,“Odisha Vegetables”
Stuffed Chilli Pickle,“220 per 300 GM”,“Stuffed chilli pickle”,“Pickles”,“Foodfun Pvt Ltd”
Katla,“286 per 500 GM”,“Katla fish”,“Fish”,“New Mangalore Fish Stall”
Bangda,“559 per 1 KG”,“Bangda fish”,“Fish”,“New Mangalore Fish Stall”
Black Pomfret,“1040 per 1 KG”,“Black pomfret”,“Fish”,“New Mangalore Fish Stall”
Blue Crab,“962 per 1 KG”,“Blue crab”,“Fish”,“New Mangalore Fish Stall”
Kilimeen,“676 per 1 KG”,“Kilimeen fish”,“Fish”,“New Mangalore Fish Stall”
Roopchand,“234 per 1 KG”,“Roopchand fish”,“Fish”,“New Mangalore Fish Stall”
Sea Prawn,“1066 per 1 KG”,“Sea prawn”,“Fish”,“New Mangalore Fish Stall”
Seer Fish,“1820 per 1 KG”,“Seer fish”,“Fish”,“New Mangalore Fish Stall”
Shrimp Prawn,“338 per 500 GM”,“Shrimp prawn”,“Fish”,“New Mangalore Fish Stall”
Fresh Water Prawns,“754 per 1 KG”,“Fresh water prawns”,“Fish”,“New Mangalore Fish Stall”
